KÛd obce;N·zev obce;Registrovani voliËi;VydanÈ ob·lky;PlatnÈ hlasy;ObËansk· demokratick· strana;ÿ·d n·roda - Vlasteneck· unie;CESTA ODPOVÃDN… SPOLE»NOSTI;»esk· str.soci·lnÏ demokrat.;RadostnÈ »esko;STAROSTOV… A NEZ¡VISLÕ;Komunistick· str.»ech a Moravy;Strana zelen˝ch;ROZUMNÕ-stop migraci,dikt·t.EU;Strana svobodn˝ch obËan˘;Blok proti islam.-Obran.domova;ObËansk· demokratick· aliance;»esk· pir·tsk· strana;Unie H.A.V.E.L.;Referendum o EvropskÈ unii;TOP 09;ANO 2011;Dobr· volba 2016;SPR-Republ.str.»sl. M.Sl·dka;K¯esù.demokr.unie-»s.str.lid.;»esk· strana n·rodnÏ soci·lnÌ;REALIST…;SPORTOVCI;DÏlnic.str.soci·lnÌ spravedl.;Svob.a p¯.dem.-T.Okamura (SPD);Strana Pr·v ObËan˘
529303;Beneöov;13104;8476;8437;1052;10;2;624;3;802;597;109;35;112;6;11;948;3;6;414;2577;3;21;314;5;58;17;16;682;10
532568;Bernartice;191;148;148;4;0;0;17;0;6;7;1;4;0;0;0;7;0;0;3;39;0;0;37;0;3;0;0;20;0
530743;BÌlkovice;170;121;118;7;0;0;15;0;8;18;0;2;0;0;0;3;0;0;2;47;1;0;6;0;0;0;0;9;0
532380;Blaûejovice;96;80;77;6;0;0;5;0;3;11;0;0;3;0;0;5;1;0;0;29;0;0;6;0;0;0;0;8;0
532096;Borovnice;73;54;53;2;0;0;2;0;4;4;1;0;1;0;0;3;0;0;1;29;0;0;5;0;0;0;0;1;0
532924;Bukovany;598;393;393;50;0;0;20;0;53;20;8;0;6;0;0;49;0;1;11;127;0;4;8;0;1;1;4;30;0
529451;Byst¯ice;3490;2205;2200;204;6;2;187;0;158;136;25;12;11;1;1;223;3;1;96;826;1;1;72;0;9;5;4;211;5
532690;Ctibo¯;106;83;83;3;0;0;5;0;4;4;2;0;1;0;0;11;0;0;2;35;0;0;11;0;0;0;0;5;0
529478;»akov;93;71;71;7;0;0;6;0;8;3;0;0;2;0;0;6;0;0;8;15;0;0;6;0;0;0;0;10;0
529486;»echtice;1140;750;744;70;1;1;54;2;50;75;5;6;15;0;0;58;1;0;35;226;0;3;81;1;8;2;2;44;4
529516;»erËany;2195;1451;1443;200;1;0;97;1;126;66;22;11;15;0;1;191;0;1;107;424;1;9;52;1;12;3;1;98;3
529532;»erven˝ ⁄jezd;258;187;187;13;0;0;5;0;13;15;3;2;3;0;2;23;0;0;3;53;0;0;30;0;4;0;0;18;0
529541;»esk˝ äternberk;129;82;82;9;0;0;3;0;6;3;1;0;1;0;0;6;0;0;8;25;0;0;3;0;0;0;0;17;0
529567;»ty¯koly;539;403;400;72;0;0;20;1;43;15;1;2;11;2;0;46;0;0;39;91;0;1;11;0;4;0;0;38;3
532746;DÏkanovice;49;40;40;0;0;0;2;0;0;3;0;0;0;0;0;3;0;0;0;13;0;0;11;0;0;0;0;8;0
529621;Diviöov;1305;830;816;52;0;0;60;1;86;78;3;7;14;2;1;76;0;1;39;256;0;2;49;0;4;3;0;79;3
529648;DolnÌ Kralovice;727;445;445;24;0;0;45;0;24;66;8;2;9;0;0;47;0;1;9;150;0;1;30;0;0;2;0;26;1
532151;DrahÚovice;70;58;57;8;0;0;1;0;2;1;1;0;1;0;0;6;0;0;3;18;0;1;5;0;1;0;0;9;0
532843;Dunice;55;38;38;5;0;0;6;0;3;3;0;0;0;0;0;5;0;0;1;10;0;0;4;0;0;0;0;1;0
529702;He¯maniËky;571;374;374;27;1;0;22;0;34;39;4;3;0;0;0;25;0;1;10;143;0;0;14;1;5;0;2;43;0
532932;HradiötÏ;24;19;19;0;0;0;0;0;0;1;0;0;1;0;0;3;0;0;0;10;0;0;2;0;1;0;0;1;0
529737;Hulice;237;173;173;20;0;0;11;0;11;20;1;0;2;0;0;12;0;0;4;70;0;1;6;0;0;1;0;13;1
529745;HvÏzdonice;257;189;189;23;1;0;6;0;13;14;1;4;1;1;0;32;0;0;12;49;0;0;0;0;1;0;0;31;0
532886;Ch·¯ovice;145;114;112;8;1;0;11;0;15;17;0;1;4;0;1;10;0;0;0;37;1;1;0;0;0;0;0;5;0
532878;Chleby;46;33;32;3;0;0;0;0;9;2;1;1;0;0;0;2;0;0;0;10;0;0;1;0;0;0;0;3;0
532045;ChlÌstov;278;177;176;29;0;0;5;0;18;5;5;0;2;0;0;32;0;0;7;62;0;0;3;0;2;0;1;5;0
529770;Chlum;112;87;87;5;0;0;3;0;5;6;0;0;0;0;0;4;0;0;0;51;0;0;6;0;0;0;1;6;0
529788;Chmeln·;112;95;95;4;0;0;8;0;4;0;1;1;0;0;0;11;0;0;4;23;0;0;33;0;0;1;0;5;0
529796;Chocerady;991;663;659;74;1;1;50;0;42;51;9;4;12;0;2;119;1;0;46;171;0;1;12;0;8;2;0;53;0
532606;Choratice;58;34;34;5;0;0;2;0;4;1;0;1;0;0;0;0;0;0;3;10;0;0;6;0;0;0;0;2;0
529818;Chot˝öany;434;294;292;27;0;0;29;0;31;16;1;5;6;1;0;35;0;1;5;91;0;0;7;0;1;1;2;33;0
532037;Chr·öùany;187;123;123;20;0;0;1;0;9;14;1;1;0;1;0;20;0;0;4;40;0;0;9;0;0;0;0;3;0
529842;Jankov;748;430;429;23;0;0;28;1;51;34;3;2;5;0;0;49;0;0;24;145;0;3;20;0;1;2;1;35;2
529851;JavornÌk;104;79;79;3;0;0;11;0;7;5;2;1;0;0;0;9;0;0;0;20;0;0;6;0;2;0;0;13;0
532134;Jeöetice;106;67;67;2;0;0;4;0;6;6;0;0;1;0;0;7;0;1;1;19;0;0;5;0;0;0;0;15;0
531031;Kamberk;121;82;81;17;0;0;5;0;2;1;0;0;2;0;0;9;0;0;6;28;0;0;1;0;2;0;0;8;0
529907;Keblov;155;99;99;10;0;0;10;0;8;10;0;1;1;0;0;6;0;0;2;34;0;1;3;0;2;0;0;11;0
533084;Kladruby;245;182;182;14;0;0;9;0;15;17;1;1;4;0;0;24;0;0;11;47;0;1;19;0;2;0;0;16;1
529931;Kondrac;383;269;267;28;2;0;35;0;29;24;1;6;1;0;1;28;0;0;5;66;0;0;19;0;0;0;0;22;0
529940;Kozmice;241;171;170;21;0;0;12;0;6;13;2;5;2;0;0;19;0;0;11;60;0;1;5;0;0;0;1;11;1
529958;Krhanice;765;505;502;70;1;0;20;0;58;27;7;3;7;0;1;68;1;0;31;139;0;0;19;1;1;1;4;43;0
529974;KrÚany;361;242;241;38;1;0;10;0;12;20;2;0;6;0;1;27;0;0;19;69;0;2;1;0;4;0;1;27;1
529991;K¯eËovice;632;451;448;30;0;1;24;0;47;40;8;5;0;1;0;55;1;0;28;141;0;1;37;0;2;1;2;24;0
530000;K¯ivsoudov;351;222;222;17;0;0;16;0;19;11;4;1;3;0;3;41;0;0;5;66;0;1;18;0;0;0;0;16;1
530026;KuÚovice;66;61;61;5;0;0;3;0;6;3;0;0;0;0;0;3;0;0;2;28;0;0;7;0;0;1;0;3;0
530051;Leöany;567;371;370;37;0;0;13;0;31;39;6;1;13;2;1;40;0;0;13;105;0;0;16;0;4;1;1;44;3
530069;Libeû;156;107;107;5;2;0;10;0;3;15;0;0;2;0;0;3;0;0;0;42;0;0;8;0;1;1;0;15;0
